age,state,income,weight
0.0,AK,0.0,35432.708099365234
0.0,AL,0.0,37819.34533691406
0.0,AR,0.0,48037.05548095703
0.0,AZ,0.0,40767.92053222656
0.0,CA,0.0,248259.34385681152
0.0,CO,0.0,49748.39764404297
0.0,CT,0.0,27729.87841796875
0.0,DC,0.0,6828.92440032959
0.0,DE,0.0,19680.786224365234
0.0,FL,0.0,170035.2580022812
0.0,GA,0.0,62759.33264160156
0.0,HI,0.0,22337.771026611328
0.0,IA,0.0,41711.60919189453
0.0,ID,0.0,45799.25225830078
0.0,IL,0.0,104926.54681396484
0.0,IN,0.0,100766.98873209953
0.0,KS,0.0,47195.220764160156
0.0,KY,0.0,27354.95263671875
0.0,LA,0.0,57336.002197265625
0.0,MA,0.0,47559.376525878906
0.0,MD,0.0,60687.26844787598
0.0,ME,0.0,12094.031311035156
0.0,MI,0.0,70565.0620727539
0.0,MN,0.0,40394.72329711914
0.0,MO,0.0,66845.33227539062
0.0,MS,0.0,33221.75503540039
0.0,MT,0.0,31175.373077392578
0.0,NC,0.0,85051.53764629364
0.0,ND,0.0,14715.212799072266
0.0,NE,0.0,17925.444355010986
0.0,NH,0.0,29620.243408203125
0.0,NJ,0.0,71890.35150146484
0.0,NM,0.0,17659.928634643555
0.0,NV,0.0,12766.666564941406
0.0,NY,0.0,157548.94360351562
0.0,OH,0.0,59306.58883666992
0.0,OK,0.0,53842.382385253906
0.0,OR,0.0,36386.718200683594
0.0,PA,0.0,106771.4351196289
0.0,RI,0.0,13031.038818359375
0.0,SC,0.0,71521.8080368042
0.0,SD,0.0,15076.374877929688
0.0,TN,0.0,72261.61022949219
0.0,TX,0.0,233399.6273574829
0.0,UT,0.0,42735.98307800293
0.0,VA,0.0,52901.80837440491
0.0,VT,0.0,17761.735275268555
0.0,WA,0.0,54197.942138671875
0.0,WI,0.0,55427.21710205078
0.0,WV,0.0,27694.56610107422
0.0,WY,0.0,14395.14599609375
1.0,AK,0.0,52930.08020019531
1.0,AL,0.0,50075.468353271484
1.0,AR,0.0,44551.02230834961
1.0,AZ,0.0,61619.77160644531
1.0,CA,0.0,340962.0907974243
1.0,CO,0.0,50778.686767578125
1.0,CT,0.0,5912.735595703125
1.0,DC,0.0,10995.212371826172
1.0,DE,0.0,28323.23516845703
1.0,FL,0.0,142665.73681640625
1.0,GA,0.0,94860.53997802734
1.0,HI,0.0,31618.472900390625
1.0,IA,0.0,41412.056277275085
1.0,ID,0.0,41021.50146484375
1.0,IL,0.0,83249.52264404297
1.0,IN,0.0,78225.54641723633
1.0,KS,0.0,45359.162353515625
1.0,KY,0.0,64821.639404296875
1.0,LA,0.0,79691.1092300415
1.0,MA,0.0,45651.099029541016
1.0,MD,0.0,82534.51165771484
1.0,ME,0.0,4542.150604248047
1.0,MI,0.0,102712.89556884766
1.0,MN,0.0,39562.86080932617
1.0,MO,0.0,71951.22351074219
1.0,MS,0.0,43784.59432220459
1.0,MT,0.0,24940.08251953125
1.0,NC,0.0,136951.31707763672
1.0,ND,0.0,20055.589294433594
1.0,NE,0.0,24798.40673828125
1.0,NH,0.0,32969.759185791016
1.0,NJ,0.0,56597.994384765625
1.0,NM,0.0,21092.572511672974
1.0,NV,0.0,34266.199810028076
1.0,NY,0.0,138355.3516998291
1.0,OH,0.0,127069.26358032227
1.0,OK,0.0,37211.26037597656
1.0,OR,0.0,33467.545585632324
1.0,PA,0.0,154082.66276550293
1.0,RI,0.0,12087.03662109375
1.0,SC,0.0,81602.16882324219
1.0,SD,0.0,23353.119873046875
1.0,TN,0.0,73807.17041015625
1.0,TX,0.0,267904.4990615845
1.0,UT,0.0,57291.19958496094
1.0,VA,0.0,112648.41931152344
1.0,VT,0.0,9104.532348632812
1.0,WA,0.0,66925.80517578125
1.0,WI,0.0,74211.41976928711
1.0,WV,0.0,75134.00759887695
1.0,WY,0.0,24729.562759399414
2.0,AK,0.0,16863.526336669922
2.0,AL,0.0,20816.31541824341
2.0,AR,0.0,46359.978515625
2.0,AZ,0.0,76588.59115600586
2.0,CA,0.0,330929.2526669502
2.0,CO,0.0,26502.71630859375
2.0,CT,0.0,16776.125
2.0,DC,0.0,5836.5155029296875
2.0,DE,0.0,14697.370727539062
2.0,FL,0.0,199087.62130737305
2.0,GA,0.0,153539.5825805664
2.0,HI,0.0,39320.75305938721
2.0,IA,0.0,56235.031311035156
2.0,ID,0.0,18016.28842163086
2.0,IL,0.0,76670.21240234375
2.0,IN,0.0,123655.75708007812
2.0,KS,0.0,19399.40966796875
2.0,KY,0.0,42484.800537109375
2.0,LA,0.0,95502.7437286377
2.0,MA,0.0,74807.27868652344
2.0,MD,0.0,64646.70545959473
2.0,ME,0.0,15413.565704345703
2.0,MI,0.0,148543.54583740234
2.0,MN,0.0,74666.46154785156
2.0,MO,0.0,79619.75384521484
2.0,MS,0.0,43686.10459899902
2.0,MT,0.0,30347.777069091797
2.0,NC,0.0,75241.09997558594
2.0,ND,0.0,22456.28985595703
2.0,NE,0.0,40599.48361206055
2.0,NH,0.0,27966.097888946533
2.0,NJ,0.0,113412.25061035156
2.0,NM,0.0,42606.92258834839
2.0,NV,0.0,49472.04748535156
2.0,NY,0.0,168879.4454421997
2.0,OH,0.0,117160.77108764648
2.0,OK,0.0,32359.565673828125
2.0,OR,0.0,42945.22373962402
2.0,PA,0.0,125972.34060668945
2.0,RI,0.0,18509.08079433441
2.0,SC,0.0,90226.70864868164
2.0,SD,0.0,10553.954681396484
2.0,TN,0.0,48959.82116699219
